Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-04-30 00:00:00+09:00,8260.0,8270.0,7900.0,8230.0,733188,0.0,0.0
2025-05-02 00:00:00+09:00,8050.0,8530.0,8040.0,8390.0,1031228,0.0,0.0
2025-05-07 00:00:00+09:00,8460.0,8500.0,8300.0,8390.0,525551,0.0,0.0
2025-05-08 00:00:00+09:00,8370.0,9090.0,8370.0,8930.0,2286063,0.0,0.0
2025-05-09 00:00:00+09:00,9180.0,9330.0,8950.0,9200.0,1498791,0.0,0.0
2025-05-12 00:00:00+09:00,9250.0,9820.0,8860.0,8980.0,3561887,0.0,0.0
2025-05-13 00:00:00+09:00,9100.0,9100.0,8740.0,8890.0,981055,0.0,0.0
2025-05-14 00:00:00+09:00,8910.0,9350.0,8860.0,9270.0,1155222,0.0,0.0
2025-05-15 00:00:00+09:00,9160.0,9440.0,9150.0,9300.0,644794,0.0,0.0
2025-05-16 00:00:00+09:00,9320.0,9400.0,9140.0,9290.0,570556,0.0,0.0
2025-05-19 00:00:00+09:00,9250.0,9250.0,8880.0,9140.0,903844,0.0,0.0
2025-05-20 00:00:00+09:00,9220.0,9550.0,9160.0,9460.0,1087902,0.0,0.0
2025-05-21 00:00:00+09:00,9510.0,9510.0,9350.0,9370.0,541800,0.0,0.0
2025-05-22 00:00:00+09:00,9270.0,9390.0,9180.0,9280.0,374846,0.0,0.0
2025-05-23 00:00:00+09:00,9320.0,9330.0,9080.0,9230.0,358497,0.0,0.0
2025-05-26 00:00:00+09:00,9220.0,9240.0,8980.0,9190.0,503454,0.0,0.0
2025-05-27 00:00:00+09:00,9220.0,9350.0,8860.0,9140.0,923891,0.0,0.0
2025-05-28 00:00:00+09:00,9220.0,9330.0,9040.0,9080.0,547049,0.0,0.0
2025-05-29 00:00:00+09:00,9230.0,9460.0,8970.0,9360.0,783831,0.0,0.0
2025-05-30 00:00:00+09:00,9410.0,9620.0,9280.0,9300.0,647337,0.0,0.0
2025-06-02 00:00:00+09:00,9460.0,10460.0,9430.0,10270.0,3736046,0.0,0.0
2025-06-04 00:00:00+09:00,10160.0,10370.0,9910.0,9970.0,992272,0.0,0.0
2025-06-05 00:00:00+09:00,10060.0,10060.0,9620.0,9750.0,999443,0.0,0.0
2025-06-09 00:00:00+09:00,9750.0,10040.0,9640.0,10030.0,736305,0.0,0.0
2025-06-10 00:00:00+09:00,10050.0,10500.0,9980.0,10440.0,1813243,0.0,0.0
2025-06-11 00:00:00+09:00,10380.0,10510.0,10260.0,10480.0,722046,0.0,0.0
2025-06-12 00:00:00+09:00,10460.0,10730.0,10300.0,10600.0,1057478,0.0,0.0
2025-06-13 00:00:00+09:00,10600.0,10610.0,10080.0,10400.0,1352149,0.0,0.0
2025-06-16 00:00:00+09:00,10400.0,10750.0,10350.0,10630.0,911937,0.0,0.0
2025-06-17 00:00:00+09:00,10660.0,10740.0,10390.0,10650.0,1013292,0.0,0.0
2025-06-18 00:00:00+09:00,10880.0,11080.0,10680.0,10810.0,949886,0.0,0.0
2025-06-19 00:00:00+09:00,10840.0,11230.0,10820.0,11070.0,676664,0.0,0.0
2025-06-20 00:00:00+09:00,11040.0,11060.0,10750.0,10800.0,514448,0.0,0.0
2025-06-23 00:00:00+09:00,10580.0,10710.0,10500.0,10510.0,618762,0.0,0.0
2025-06-24 00:00:00+09:00,10670.0,10900.0,10620.0,10810.0,633415,0.0,0.0
2025-06-25 00:00:00+09:00,10670.0,10800.0,10440.0,10650.0,371896,0.0,0.0
2025-06-26 00:00:00+09:00,10830.0,11220.0,10650.0,10850.0,1141549,0.0,0.0
2025-06-27 00:00:00+09:00,10770.0,11190.0,10740.0,11010.0,690689,0.0,0.0
2025-06-30 00:00:00+09:00,11080.0,11580.0,11080.0,11450.0,1031975,0.0,0.0
2025-07-01 00:00:00+09:00,11390.0,11520.0,10870.0,11250.0,1178086,0.0,0.0
2025-07-02 00:00:00+09:00,11210.0,11370.0,11010.0,11120.0,766582,0.0,0.0
2025-07-03 00:00:00+09:00,11190.0,11340.0,10800.0,11100.0,846263,0.0,0.0
2025-07-04 00:00:00+09:00,11120.0,11140.0,10650.0,10730.0,646616,0.0,0.0
2025-07-07 00:00:00+09:00,10720.0,11780.0,10580.0,11700.0,1543022,0.0,0.0
2025-07-08 00:00:00+09:00,11490.0,11910.0,11420.0,11810.0,783348,0.0,0.0
2025-07-09 00:00:00+09:00,11760.0,11990.0,11630.0,11940.0,565235,0.0,0.0
2025-07-10 00:00:00+09:00,11980.0,12090.0,11810.0,11850.0,488253,0.0,0.0
2025-07-11 00:00:00+09:00,11850.0,11850.0,11410.0,11560.0,458167,0.0,0.0
2025-07-14 00:00:00+09:00,11670.0,11840.0,11560.0,11810.0,279182,0.0,0.0
2025-07-15 00:00:00+09:00,11930.0,12850.0,11920.0,12570.0,1476147,0.0,0.0
2025-07-16 00:00:00+09:00,12910.0,13110.0,12550.0,12700.0,720920,0.0,0.0
2025-07-17 00:00:00+09:00,12530.0,12880.0,12520.0,12660.0,470265,0.0,0.0
2025-07-18 00:00:00+09:00,12670.0,12810.0,12350.0,12430.0,449220,0.0,0.0
2025-07-21 00:00:00+09:00,12690.0,13360.0,12610.0,13270.0,913193,0.0,0.0
2025-07-22 00:00:00+09:00,13270.0,13410.0,13070.0,13200.0,449499,0.0,0.0
2025-07-23 00:00:00+09:00,13180.0,13380.0,12900.0,13070.0,317472,0.0,0.0
2025-07-24 00:00:00+09:00,13070.0,13310.0,13020.0,13130.0,310336,0.0,0.0
2025-07-25 00:00:00+09:00,13050.0,13250.0,12960.0,13250.0,307840,0.0,0.0
2025-07-28 00:00:00+09:00,13230.0,13340.0,12940.0,13020.0,347388,0.0,0.0
2025-07-29 00:00:00+09:00,12930.0,13380.0,12780.0,13320.0,425849,0.0,0.0
2025-07-30 00:00:00+09:00,13230.0,13380.0,12310.0,12640.0,610811,0.0,0.0
2025-07-31 00:00:00+09:00,12710.0,13090.0,12700.0,12900.0,394059,0.0,0.0
2025-08-01 00:00:00+09:00,12570.0,12690.0,11960.0,12190.0,1425216,0.0,0.0
2025-08-04 00:00:00+09:00,12190.0,12390.0,11810.0,12270.0,463265,0.0,0.0
2025-08-05 00:00:00+09:00,12470.0,12480.0,11900.0,12120.0,895711,0.0,0.0
2025-08-06 00:00:00+09:00,12130.0,12500.0,12070.0,12460.0,486368,0.0,0.0
2025-08-07 00:00:00+09:00,12550.0,12640.0,12410.0,12450.0,269919,0.0,0.0
2025-08-08 00:00:00+09:00,12450.0,12860.0,12150.0,12740.0,675479,0.0,0.0
2025-08-11 00:00:00+09:00,12880.0,13350.0,12560.0,12670.0,1102058,0.0,0.0
2025-08-12 00:00:00+09:00,12890.0,13220.0,12700.0,12900.0,705072,0.0,0.0
2025-08-13 00:00:00+09:00,13100.0,13110.0,10370.0,10450.0,5037987,0.0,0.0
2025-08-14 00:00:00+09:00,10900.0,10900.0,9920.0,9970.0,3235342,0.0,0.0
2025-08-18 00:00:00+09:00,10050.0,10200.0,9850.0,10100.0,916801,0.0,0.0
2025-08-19 00:00:00+09:00,10070.0,10380.0,9960.0,10000.0,737275,0.0,0.0
2025-08-20 00:00:00+09:00,10000.0,10150.0,9700.0,10150.0,1132237,0.0,0.0
2025-08-21 00:00:00+09:00,10190.0,10310.0,10010.0,10040.0,610133,0.0,0.0
2025-08-22 00:00:00+09:00,10070.0,10150.0,9980.0,10020.0,364879,0.0,0.0
2025-08-25 00:00:00+09:00,10170.0,10200.0,10000.0,10020.0,494173,0.0,0.0
2025-08-26 00:00:00+09:00,10090.0,10090.0,9870.0,9880.0,1361385,0.0,0.0
2025-08-27 00:00:00+09:00,9870.0,9920.0,9700.0,9850.0,599446,0.0,0.0
2025-08-28 00:00:00+09:00,9860.0,9970.0,9800.0,9890.0,392761,0.0,0.0
2025-08-29 00:00:00+09:00,9960.0,10350.0,9840.0,10220.0,1627179,0.0,0.0
2025-09-01 00:00:00+09:00,10480.0,10800.0,10320.0,10450.0,2106402,0.0,0.0
2025-09-02 00:00:00+09:00,10520.0,10550.0,9900.0,10000.0,1207194,0.0,0.0
2025-09-03 00:00:00+09:00,9950.0,10000.0,9740.0,9740.0,860884,0.0,0.0
2025-09-04 00:00:00+09:00,9750.0,9940.0,9710.0,9780.0,475161,0.0,0.0
2025-09-05 00:00:00+09:00,9810.0,10040.0,9670.0,9970.0,560114,0.0,0.0
2025-09-08 00:00:00+09:00,9980.0,11150.0,9970.0,11060.0,2751585,0.0,0.0
2025-09-09 00:00:00+09:00,10960.0,10980.0,10530.0,10680.0,927174,0.0,0.0
2025-09-10 00:00:00+09:00,10700.0,10720.0,10310.0,10510.0,938231,0.0,0.0
2025-09-11 00:00:00+09:00,10650.0,10960.0,10530.0,10670.0,1039283,0.0,0.0
2025-09-12 00:00:00+09:00,10790.0,11430.0,10390.0,10540.0,2347586,0.0,0.0
2025-09-15 00:00:00+09:00,10970.0,10970.0,10130.0,10400.0,1420476,0.0,0.0
2025-09-16 00:00:00+09:00,10500.0,10690.0,10180.0,10290.0,951904,0.0,0.0
2025-09-17 00:00:00+09:00,10290.0,10350.0,10010.0,10100.0,757300,0.0,0.0
2025-09-18 00:00:00+09:00,10260.0,10320.0,10100.0,10190.0,561251,0.0,0.0
2025-09-19 00:00:00+09:00,10190.0,10190.0,9900.0,10040.0,749167,0.0,0.0
2025-09-22 00:00:00+09:00,10050.0,10190.0,9890.0,10130.0,791463,0.0,0.0
2025-09-23 00:00:00+09:00,10100.0,10120.0,9970.0,10000.0,451667,0.0,0.0
2025-09-24 00:00:00+09:00,10070.0,10070.0,9820.0,9940.0,513545,0.0,0.0
2025-09-25 00:00:00+09:00,9900.0,9930.0,9760.0,9840.0,679379,0.0,0.0
2025-09-26 00:00:00+09:00,9800.0,9840.0,9450.0,9570.0,709446,0.0,0.0
2025-09-29 00:00:00+09:00,9620.0,9640.0,9500.0,9570.0,323070,0.0,0.0
2025-09-30 00:00:00+09:00,9580.0,9620.0,9490.0,9540.0,249736,0.0,0.0
2025-10-01 00:00:00+09:00,9420.0,9510.0,9200.0,9280.0,754353,0.0,0.0
2025-10-02 00:00:00+09:00,9210.0,9370.0,9090.0,9210.0,599415,0.0,0.0
2025-10-10 00:00:00+09:00,9180.0,9200.0,8910.0,9040.0,849721,0.0,0.0
2025-10-13 00:00:00+09:00,8870.0,9190.0,8820.0,9100.0,526526,0.0,0.0
2025-10-14 00:00:00+09:00,9200.0,9240.0,8880.0,8970.0,528956,0.0,0.0
2025-10-15 00:00:00+09:00,8950.0,8970.0,8780.0,8870.0,417166,0.0,0.0
2025-10-16 00:00:00+09:00,8900.0,8990.0,8710.0,8770.0,477732,0.0,0.0
2025-10-17 00:00:00+09:00,8790.0,8810.0,8380.0,8480.0,847293,0.0,0.0
2025-10-20 00:00:00+09:00,8530.0,9000.0,8460.0,8710.0,693731,0.0,0.0
2025-10-21 00:00:00+09:00,8750.0,8760.0,8560.0,8610.0,381677,0.0,0.0
2025-10-22 00:00:00+09:00,8630.0,8710.0,8470.0,8650.0,309486,0.0,0.0
2025-10-23 00:00:00+09:00,8730.0,8830.0,8560.0,8620.0,351846,0.0,0.0
2025-10-24 00:00:00+09:00,8700.0,8810.0,8610.0,8670.0,569288,0.0,0.0
2025-10-27 00:00:00+09:00,8770.0,8940.0,8690.0,8780.0,524280,0.0,0.0
2025-10-28 00:00:00+09:00,8860.0,8960.0,8660.0,8710.0,379483,0.0,0.0
2025-10-29 00:00:00+09:00,8780.0,8800.0,8500.0,8570.0,541804,0.0,0.0
2025-10-30 00:00:00+09:00,8580.0,8620.0,8410.0,8480.0,560369,0.0,0.0
2025-10-31 00:00:00+09:00,8500.0,8610.0,8420.0,8500.0,479073,0.0,0.0
2025-11-03 00:00:00+09:00,8510.0,8650.0,8440.0,8510.0,436607,0.0,0.0
2025-11-04 00:00:00+09:00,8490.0,8570.0,8410.0,8520.0,515733,0.0,0.0
2025-11-05 00:00:00+09:00,8490.0,8500.0,7780.0,8250.0,793306,0.0,0.0
2025-11-06 00:00:00+09:00,8330.0,8420.0,8170.0,8250.0,316933,0.0,0.0
2025-11-07 00:00:00+09:00,8120.0,8230.0,7960.0,8100.0,445970,0.0,0.0
2025-11-10 00:00:00+09:00,8130.0,8280.0,8060.0,8230.0,352308,0.0,0.0
2025-11-11 00:00:00+09:00,8340.0,8510.0,8290.0,8340.0,377757,0.0,0.0
2025-11-12 00:00:00+09:00,8480.0,8650.0,7260.0,7680.0,2636037,0.0,0.0
2025-11-13 00:00:00+09:00,7700.0,8030.0,7590.0,7900.0,996597,0.0,0.0
2025-11-14 00:00:00+09:00,7760.0,8170.0,7750.0,8010.0,462254,0.0,0.0
2025-11-17 00:00:00+09:00,8070.0,8090.0,7620.0,7660.0,583167,0.0,0.0
2025-11-18 00:00:00+09:00,7640.0,7750.0,7500.0,7550.0,521107,0.0,0.0
2025-11-19 00:00:00+09:00,7550.0,7670.0,7400.0,7480.0,345173,0.0,0.0
2025-11-20 00:00:00+09:00,7510.0,7620.0,7460.0,7520.0,382244,0.0,0.0
2025-11-21 00:00:00+09:00,7360.0,7500.0,7280.0,7440.0,347205,0.0,0.0
2025-11-24 00:00:00+09:00,7510.0,7510.0,7330.0,7420.0,242069,0.0,0.0
2025-11-25 00:00:00+09:00,7470.0,7510.0,7240.0,7250.0,341085,0.0,0.0
2025-11-26 00:00:00+09:00,7260.0,7390.0,7100.0,7390.0,272273,0.0,0.0
2025-11-27 00:00:00+09:00,7460.0,7510.0,7270.0,7280.0,236821,0.0,0.0
2025-11-28 00:00:00+09:00,7390.0,7660.0,7300.0,7610.0,538885,0.0,0.0
2025-12-01 00:00:00+09:00,7710.0,7750.0,7430.0,7460.0,445512,0.0,0.0
2025-12-02 00:00:00+09:00,7530.0,7650.0,7430.0,7620.0,356759,0.0,0.0
2025-12-03 00:00:00+09:00,7630.0,7670.0,7530.0,7550.0,234220,0.0,0.0
2025-12-04 00:00:00+09:00,7590.0,7590.0,7360.0,7390.0,297194,0.0,0.0
2025-12-05 00:00:00+09:00,7370.0,7460.0,7290.0,7450.0,255669,0.0,0.0
2025-12-08 00:00:00+09:00,7450.0,7550.0,7410.0,7530.0,235641,0.0,0.0
2025-12-09 00:00:00+09:00,7540.0,7540.0,7420.0,7500.0,230881,0.0,0.0
2025-12-10 00:00:00+09:00,7510.0,7560.0,7400.0,7500.0,332985,0.0,0.0
2025-12-11 00:00:00+09:00,7520.0,7970.0,7520.0,7770.0,833297,0.0,0.0
2025-12-12 00:00:00+09:00,7830.0,7860.0,7630.0,7780.0,750060,0.0,0.0
2025-12-15 00:00:00+09:00,7690.0,7760.0,7550.0,7740.0,427212,0.0,0.0
2025-12-16 00:00:00+09:00,7690.0,7840.0,7630.0,7700.0,406303,0.0,0.0
2025-12-17 00:00:00+09:00,7780.0,8140.0,7720.0,7770.0,663039,0.0,0.0
2025-12-18 00:00:00+09:00,7720.0,7740.0,7550.0,7550.0,336574,0.0,0.0
2025-12-19 00:00:00+09:00,7580.0,7620.0,7290.0,7310.0,770179,0.0,0.0
2025-12-22 00:00:00+09:00,7370.0,7590.0,7310.0,7530.0,442817,0.0,0.0
2025-12-23 00:00:00+09:00,7580.0,7580.0,7280.0,7280.0,571033,0.0,0.0
2025-12-24 00:00:00+09:00,7340.0,7340.0,7200.0,7250.0,297816,0.0,0.0
2025-12-26 00:00:00+09:00,7250.0,7270.0,7070.0,7070.0,484488,0.0,0.0
2025-12-29 00:00:00+09:00,7000.0,7340.0,7000.0,7300.0,292288,0.0,0.0
2025-12-30 00:00:00+09:00,7290.0,7810.0,7220.0,7750.0,1153740,0.0,0.0
2026-01-02 00:00:00+09:00,7900.0,8500.0,7900.0,8250.0,1458588,0.0,0.0
2026-01-05 00:00:00+09:00,8320.0,8360.0,8000.0,8110.0,1176286,0.0,0.0
2026-01-06 00:00:00+09:00,8130.0,8130.0,7930.0,8090.0,551373,0.0,0.0
2026-01-07 00:00:00+09:00,8050.0,8100.0,7790.0,8020.0,630375,0.0,0.0
2026-01-08 00:00:00+09:00,7950.0,8290.0,7910.0,8160.0,610683,0.0,0.0
2026-01-09 00:00:00+09:00,8210.0,8410.0,8060.0,8150.0,479985,0.0,0.0
2026-01-12 00:00:00+09:00,8160.0,8290.0,8050.0,8100.0,434127,0.0,0.0
2026-01-13 00:00:00+09:00,8130.0,8160.0,7960.0,8040.0,486119,0.0,0.0
2026-01-14 00:00:00+09:00,8100.0,8410.0,8030.0,8230.0,938554,0.0,0.0
2026-01-15 00:00:00+09:00,8330.0,8400.0,8170.0,8250.0,529826,0.0,0.0
2026-01-16 00:00:00+09:00,8290.0,8300.0,8050.0,8090.0,576556,0.0,0.0
2026-01-19 00:00:00+09:00,8050.0,8140.0,7950.0,8120.0,469184,0.0,0.0
2026-01-20 00:00:00+09:00,8120.0,8280.0,8000.0,8190.0,540013,0.0,0.0
2026-01-21 00:00:00+09:00,8060.0,8180.0,7970.0,8170.0,608671,0.0,0.0
2026-01-22 00:00:00+09:00,8190.0,8690.0,8000.0,8540.0,1401226,0.0,0.0
2026-01-23 00:00:00+09:00,8650.0,8720.0,8390.0,8600.0,859952,0.0,0.0
2026-01-26 00:00:00+09:00,8600.0,8830.0,8500.0,8830.0,1267581,0.0,0.0
2026-01-27 00:00:00+09:00,8820.0,8990.0,8640.0,8710.0,1016280,0.0,0.0
2026-01-28 00:00:00+09:00,8860.0,9050.0,8840.0,8980.0,999685,0.0,0.0
2026-01-29 00:00:00+09:00,9390.0,9720.0,9060.0,9390.0,1812760,0.0,0.0
2026-01-30 00:00:00+09:00,9800.0,10480.0,9590.0,10220.0,3636315,0.0,0.0
2026-02-02 00:00:00+09:00,9900.0,10040.0,9100.0,9170.0,2038143,0.0,0.0
2026-02-03 00:00:00+09:00,9550.0,9590.0,9080.0,9270.0,1183289,0.0,0.0
2026-02-04 00:00:00+09:00,9180.0,9720.0,9110.0,9300.0,838673,0.0,0.0
2026-02-05 00:00:00+09:00,9140.0,9590.0,8860.0,8860.0,1049328,0.0,0.0
2026-02-06 00:00:00+09:00,8570.0,8980.0,7850.0,8070.0,2280575,0.0,0.0
2026-02-09 00:00:00+09:00,8140.0,8270.0,7910.0,8240.0,960147,0.0,0.0
