Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-05-07 00:00:00+09:00,372000.0,372500.0,353000.0,359000.0,79399,0.0,0.0
2025-05-08 00:00:00+09:00,359500.0,375000.0,352000.0,367500.0,117830,0.0,0.0
2025-05-09 00:00:00+09:00,364500.0,364500.0,346000.0,357500.0,113737,0.0,0.0
2025-05-12 00:00:00+09:00,361000.0,361500.0,341000.0,343000.0,73071,0.0,0.0
2025-05-13 00:00:00+09:00,344000.0,352500.0,339500.0,344000.0,55720,0.0,0.0
2025-05-14 00:00:00+09:00,341000.0,348500.0,336000.0,346000.0,42429,0.0,0.0
2025-05-15 00:00:00+09:00,343000.0,353000.0,340000.0,350000.0,44255,0.0,0.0
2025-05-16 00:00:00+09:00,349500.0,357000.0,346500.0,346500.0,45938,0.0,0.0
2025-05-19 00:00:00+09:00,343500.0,348500.0,336500.0,340500.0,38718,0.0,0.0
2025-05-20 00:00:00+09:00,344000.0,351000.0,339500.0,344000.0,45358,0.0,0.0
2025-05-21 00:00:00+09:00,349000.0,377000.0,348500.0,366000.0,85655,0.0,0.0
2025-05-22 00:00:00+09:00,362000.0,364500.0,354500.0,356000.0,32205,0.0,0.0
2025-05-23 00:00:00+09:00,357500.0,364500.0,355000.0,359500.0,29179,0.0,0.0
2025-05-26 00:00:00+09:00,365000.0,370000.0,357500.0,359500.0,30583,0.0,0.0
2025-05-27 00:00:00+09:00,360000.0,367500.0,360000.0,362000.0,26829,0.0,0.0
2025-05-28 00:00:00+09:00,362000.0,362000.0,321000.0,324500.0,183913,0.0,0.0
2025-05-29 00:00:00+09:00,328500.0,330000.0,320000.0,327500.0,87703,0.0,0.0
2025-05-30 00:00:00+09:00,327500.0,339500.0,327500.0,332000.0,63252,0.0,0.0
2025-06-02 00:00:00+09:00,332500.0,340500.0,330000.0,336500.0,37834,0.0,0.0
2025-06-04 00:00:00+09:00,340000.0,344500.0,331500.0,334000.0,60281,0.0,0.0
2025-06-05 00:00:00+09:00,333000.0,336500.0,323500.0,327000.0,81912,0.0,0.0
2025-06-09 00:00:00+09:00,329000.0,345000.0,323500.0,344500.0,93523,0.0,0.0
2025-06-10 00:00:00+09:00,346500.0,364500.0,341500.0,363500.0,107622,0.0,0.0
2025-06-11 00:00:00+09:00,365500.0,379500.0,363500.0,370000.0,89183,0.0,0.0
2025-06-12 00:00:00+09:00,370000.0,385000.0,368000.0,376500.0,82140,0.0,0.0
2025-06-13 00:00:00+09:00,373000.0,379500.0,352500.0,356000.0,79182,0.0,0.0
2025-06-16 00:00:00+09:00,362500.0,372000.0,362000.0,367500.0,50713,0.0,0.0
2025-06-17 00:00:00+09:00,376000.0,377000.0,355000.0,359500.0,56306,0.0,0.0
2025-06-18 00:00:00+09:00,353500.0,387500.0,353000.0,384000.0,79814,0.0,0.0
2025-06-19 00:00:00+09:00,381000.0,383000.0,370000.0,372000.0,42068,0.0,0.0
2025-06-20 00:00:00+09:00,372500.0,378500.0,366500.0,368500.0,29496,0.0,0.0
2025-06-23 00:00:00+09:00,366000.0,372000.0,358000.0,362000.0,46212,0.0,0.0
2025-06-24 00:00:00+09:00,369500.0,374000.0,343500.0,368000.0,53487,0.0,0.0
2025-06-25 00:00:00+09:00,369500.0,379000.0,366000.0,378000.0,49092,0.0,0.0
2025-06-26 00:00:00+09:00,373000.0,377500.0,366000.0,377500.0,35570,0.0,0.0
2025-06-27 00:00:00+09:00,373000.0,377500.0,366500.0,369000.0,24955,0.0,0.0
2025-06-30 00:00:00+09:00,372500.0,389000.0,366500.0,388000.0,57251,0.0,0.0
2025-07-01 00:00:00+09:00,386000.0,392000.0,359000.0,364000.0,138590,0.0,0.0
2025-07-02 00:00:00+09:00,366000.0,377500.0,360500.0,365500.0,74667,0.0,0.0
2025-07-03 00:00:00+09:00,368000.0,378500.0,367500.0,377000.0,79914,0.0,0.0
2025-07-04 00:00:00+09:00,377000.0,380000.0,360000.0,362000.0,56106,0.0,0.0
