Date,Close,Volume
2025-05-08 00:00:00+09:00,22357.99609375,405941
2025-05-09 00:00:00+09:00,22112.84375,207121
2025-05-12 00:00:00+09:00,22995.396484375,319737
2025-05-13 00:00:00+09:00,23387.640625,403569
2025-05-14 00:00:00+09:00,23926.978515625,381835
2025-05-15 00:00:00+09:00,23485.703125,241727
2025-05-16 00:00:00+09:00,22897.333984375,659311
2025-05-19 00:00:00+09:00,21720.59765625,469089
2025-05-20 00:00:00+09:00,21818.658203125,211675
2025-05-21 00:00:00+09:00,21818.658203125,246997
2025-05-22 00:00:00+09:00,20936.107421875,519523
2025-05-23 00:00:00+09:00,20887.076171875,220344
2025-05-26 00:00:00+09:00,21426.4140625,391819
2025-05-27 00:00:00+09:00,21426.4140625,222779
2025-05-28 00:00:00+09:00,21916.720703125,430832
2025-05-29 00:00:00+09:00,22407.02734375,376800
2025-05-30 00:00:00+09:00,21818.658203125,215766
2025-06-02 00:00:00+09:00,21573.505859375,224420
2025-06-04 00:00:00+09:00,21818.658203125,349922
2025-06-05 00:00:00+09:00,22407.02734375,426259
2025-06-09 00:00:00+09:00,23534.732421875,555349
2025-06-10 00:00:00+09:00,23681.826171875,649780
2025-06-11 00:00:00+09:00,27163.00390625,2000565
2025-06-12 00:00:00+09:00,27947.49609375,1822288
2025-06-13 00:00:00+09:00,27113.974609375,1102099
2025-06-16 00:00:00+09:00,27653.3125,531928
2025-06-17 00:00:00+09:00,27653.3125,772811
2025-06-18 00:00:00+09:00,27947.49609375,370498
2025-06-19 00:00:00+09:00,27653.3125,415271
2025-06-20 00:00:00+09:00,27604.28125,395983
2025-06-23 00:00:00+09:00,27064.943359375,357462
2025-06-24 00:00:00+09:00,27261.06640625,407907
2025-06-25 00:00:00+09:00,28192.6484375,1180836
2025-06-26 00:00:00+09:00,28682.95703125,1481295
2025-06-27 00:00:00+09:00,28094.587890625,404789
2025-06-30 00:00:00+09:00,27212.03515625,344481
2025-07-01 00:00:00+09:00,27163.00390625,368003
2025-07-02 00:00:00+09:00,26427.544921875,316122
2025-07-03 00:00:00+09:00,27359.126953125,280547
2025-07-04 00:00:00+09:00,26574.63671875,254170
2025-07-07 00:00:00+09:00,26280.453125,220315
2025-07-08 00:00:00+09:00,26133.359375,241323
2025-07-09 00:00:00+09:00,25790.14453125,221650
2025-07-10 00:00:00+09:00,25446.9296875,415920
2025-07-11 00:00:00+09:00,25741.115234375,451365
2025-07-14 00:00:00+09:00,25544.9921875,318413
2025-07-15 00:00:00+09:00,25544.9921875,337860
2025-07-16 00:00:00+09:00,25594.021484375,242421
2025-07-17 00:00:00+09:00,25397.900390625,304523
2025-07-18 00:00:00+09:00,25544.9921875,199232
2025-07-21 00:00:00+09:00,25250.806640625,172304
2025-07-22 00:00:00+09:00,24858.5625,282424
2025-07-23 00:00:00+09:00,24564.376953125,284598
2025-07-24 00:00:00+09:00,24368.255859375,236448
2025-07-25 00:00:00+09:00,24025.041015625,207493
2025-07-28 00:00:00+09:00,25054.685546875,546750
2025-07-29 00:00:00+09:00,25054.685546875,432216
2025-07-30 00:00:00+09:00,26574.63671875,2017412
2025-07-31 00:00:00+09:00,26329.482421875,441001
2025-08-01 00:00:00+09:00,24319.224609375,615720
2025-08-04 00:00:00+09:00,24074.0703125,285697
2025-08-05 00:00:00+09:00,24662.439453125,246077
2025-08-06 00:00:00+09:00,26378.513671875,787442
2025-08-07 00:00:00+09:00,25643.052734375,299037
2025-08-08 00:00:00+09:00,26280.453125,513103
2025-08-11 00:00:00+09:00,25937.23828125,273175
2025-08-12 00:00:00+09:00,25495.9609375,342196
2025-08-13 00:00:00+09:00,26035.298828125,434915
2025-08-14 00:00:00+09:00,26574.63671875,425995
2025-08-18 00:00:00+09:00,26231.421875,323591
2025-08-19 00:00:00+09:00,25790.14453125,332777
2025-08-20 00:00:00+09:00,25250.806640625,213358
2025-08-21 00:00:00+09:00,25005.654296875,173684
2025-08-22 00:00:00+09:00,24515.34765625,383051
2025-08-25 00:00:00+09:00,24956.623046875,365357
2025-08-26 00:00:00+09:00,25348.869140625,524605
2025-08-27 00:00:00+09:00,25299.837890625,225451
2025-08-28 00:00:00+09:00,24858.5625,329275
2025-08-29 00:00:00+09:00,26182.390625,1377541
2025-09-01 00:00:00+09:00,25054.685546875,469176
2025-09-02 00:00:00+09:00,25250.806640625,234383
2025-09-03 00:00:00+09:00,25594.021484375,268418
2025-09-04 00:00:00+09:00,26378.513671875,409072
2025-09-05 00:00:00+09:00,26378.513671875,382239
2025-09-08 00:00:00+09:00,26476.57421875,296715
2025-09-09 00:00:00+09:00,26868.8203125,493840
2025-09-10 00:00:00+09:00,27261.06640625,847211
2025-09-11 00:00:00+09:00,27064.943359375,870419
2025-09-12 00:00:00+09:00,28192.6484375,1588589
2025-09-15 00:00:00+09:00,29859.693359375,2190901
2025-09-16 00:00:00+09:00,30251.9375,783373
2025-09-17 00:00:00+09:00,29369.38671875,712831
2025-09-18 00:00:00+09:00,30006.78515625,1452620
2025-09-19 00:00:00+09:00,32507.349609375,4056963
2025-09-22 00:00:00+09:00,33586.02734375,2239074
2025-09-23 00:00:00+09:00,33782.1484375,1414339
2025-09-24 00:00:00+09:00,34762.76171875,1406348
2025-09-25 00:00:00+09:00,33684.0859375,1117131
2025-09-26 00:00:00+09:00,33340.87109375,1008453
2025-09-29 00:00:00+09:00,33438.93359375,619059
2025-09-30 00:00:00+09:00,33095.71875,484323
2025-10-01 00:00:00+09:00,33684.0859375,778423
2025-10-02 00:00:00+09:00,34321.484375,1785143
2025-10-10 00:00:00+09:00,35841.4375,1411329
2025-10-13 00:00:00+09:00,36135.62109375,995759
2025-10-14 00:00:00+09:00,34664.69921875,1702950
2025-10-15 00:00:00+09:00,35498.22265625,720293
2025-10-16 00:00:00+09:00,35743.375,650126
2025-10-17 00:00:00+09:00,34076.33203125,926916
2025-10-20 00:00:00+09:00,35547.25390625,833269
2025-10-21 00:00:00+09:00,35253.0703125,1024441
2025-10-22 00:00:00+09:00,34909.85546875,605907
2025-10-23 00:00:00+09:00,34174.39453125,483583
2025-10-24 00:00:00+09:00,35743.375,1068762
2025-10-27 00:00:00+09:00,36331.74609375,915086
2025-10-28 00:00:00+09:00,35105.9765625,733166
2025-10-29 00:00:00+09:00,34713.73046875,930434
2025-10-30 00:00:00+09:00,34468.578125,744976
2025-10-31 00:00:00+09:00,33929.2421875,639788
2025-11-03 00:00:00+09:00,34174.39453125,1020372
2025-11-04 00:00:00+09:00,33389.90234375,838736
2025-11-05 00:00:00+09:00,31968.013671875,1059665
2025-11-06 00:00:00+09:00,32654.443359375,538499
2025-11-07 00:00:00+09:00,30987.3984375,665172
2025-11-10 00:00:00+09:00,31918.982421875,491815
2025-11-11 00:00:00+09:00,31575.767578125,720286
2025-11-12 00:00:00+09:00,32017.04296875,466485
2025-11-13 00:00:00+09:00,32360.2578125,485593
2025-11-14 00:00:00+09:00,30497.091796875,637978
2025-11-17 00:00:00+09:00,30987.3984375,485904
2025-11-18 00:00:00+09:00,29320.35546875,558124
2025-11-19 00:00:00+09:00,28486.833984375,449558
2025-11-20 00:00:00+09:00,29565.5078125,641187
2025-11-21 00:00:00+09:00,27800.404296875,722064
2025-11-24 00:00:00+09:00,27653.3125,347820
2025-11-25 00:00:00+09:00,27702.341796875,383575
2025-11-26 00:00:00+09:00,28241.6796875,489987
2025-11-27 00:00:00+09:00,28241.6796875,365313
2025-11-28 00:00:00+09:00,29663.5703125,534930
2025-12-01 00:00:00+09:00,30693.21484375,888050
2025-12-02 00:00:00+09:00,30644.18359375,319673
2025-12-03 00:00:00+09:00,30399.03125,323008
2025-12-04 00:00:00+09:00,29957.75390625,360885
2025-12-05 00:00:00+09:00,29712.6015625,260697
2025-12-08 00:00:00+09:00,29810.662109375,222032
2025-12-09 00:00:00+09:00,29516.478515625,259008
2025-12-10 00:00:00+09:00,29075.201171875,292481
2025-12-11 00:00:00+09:00,28879.078125,532105
2025-12-12 00:00:00+09:00,28879.078125,555540
2025-12-15 00:00:00+09:00,28290.7109375,388191
2025-12-16 00:00:00+09:00,27604.28125,369765
2025-12-17 00:00:00+09:00,28781.017578125,397316
2025-12-18 00:00:00+09:00,28045.556640625,328624
2025-12-19 00:00:00+09:00,28143.619140625,237009
2025-12-22 00:00:00+09:00,29369.38671875,552659
2025-12-23 00:00:00+09:00,29810.662109375,435663
2025-12-24 00:00:00+09:00,29467.447265625,250109
2025-12-26 00:00:00+09:00,30350.0,829929
2025-12-29 00:00:00+09:00,33200.0,1665943
2025-12-30 00:00:00+09:00,33500.0,898477
2026-01-02 00:00:00+09:00,34450.0,1281946
