date,open,high,low,close,adj_close,volume
2025-08-15,24.260000228881836,24.270000457763672,23.649999618530273,23.760000228881836,23.556859970092773,1816000
2025-08-18,23.790000915527344,24.149999618530273,23.770000457763672,24.049999237060547,23.844379425048828,1544700
2025-08-19,24.100000381469727,24.309999465942383,23.6200008392334,23.739999771118164,23.537031173706055,1557400
2025-08-20,23.639999389648438,23.729999542236328,22.739999771118164,23.0,22.80335807800293,1969100
2025-08-21,22.889999389648438,23.229999542236328,22.809999465942383,23.209999084472656,23.01156234741211,1369500
2025-08-22,23.229999542236328,24.530000686645508,23.219999313354492,24.09000015258789,23.8840389251709,2201700
2025-08-25,24.030000686645508,24.280000686645508,23.8799991607666,24.149999618530273,23.943527221679688,1279300
2025-08-26,24.170000076293945,24.530000686645508,24.139999389648438,24.360000610351562,24.151731491088867,1768500
2025-08-27,24.469999313354492,24.610000610351562,24.270000457763672,24.579999923706055,24.369850158691406,1557700
2025-08-28,24.59000015258789,24.799999237060547,24.440000534057617,24.65999984741211,24.44916534423828,1460100
2025-08-29,24.540000915527344,24.610000610351562,23.959999084472656,24.190000534057617,23.983184814453125,1501000
2025-09-02,23.440000534057617,23.940000534057617,23.3700008392334,23.899999618530273,23.69566535949707,1412000
2025-09-03,23.889999389648438,24.350000381469727,23.610000610351562,23.799999237060547,23.67875099182129,2376900
2025-09-04,23.6200008392334,24.34000015258789,23.3799991607666,24.290000915527344,24.166255950927734,1352200
2025-09-05,24.600000381469727,24.81999969482422,24.18000030517578,24.639999389648438,24.51447105407715,2369600
2025-09-08,24.639999389648438,25.1299991607666,24.600000381469727,24.829999923706055,24.703502655029297,2371900
2025-09-09,24.989999771118164,25.3799991607666,24.780000686645508,24.8700008392334,24.743301391601562,3273200
2025-09-10,25.3700008392334,25.3700008392334,24.600000381469727,24.790000915527344,24.663707733154297,2847400
2025-09-11,24.899999618530273,25.40999984741211,24.860000610351562,25.3799991607666,25.250699996948242,2527500
2025-09-12,25.34000015258789,25.600000381469727,24.969999313354492,25.459999084472656,25.330291748046875,1630100
2025-09-15,25.8700008392334,26.0,25.520000457763672,25.68000030517578,25.54917335510254,1539300
2025-09-16,27.920000076293945,28.219999313354492,26.479999542236328,27.040000915527344,26.902246475219727,3734600
2025-09-17,26.850000381469727,27.190000534057617,26.15999984741211,26.6200008392334,26.484386444091797,2250400
2025-09-18,27.8799991607666,29.190000534057617,27.549999237060547,29.15999984741211,29.011444091796875,4287700
2025-09-19,29.309999465942383,29.389999389648438,28.239999771118164,28.309999465942383,28.165775299072266,5206800
2025-09-22,28.489999771118164,29.989999771118164,28.420000076293945,29.530000686645508,29.379560470581055,3021800
2025-09-23,29.670000076293945,30.350000381469727,29.450000762939453,29.579999923706055,29.429304122924805,2542700
2025-09-24,29.389999389648438,29.709999084472656,28.959999084472656,29.360000610351562,29.210424423217773,1725400
2025-09-25,28.780000686645508,29.34000015258789,28.31999969482422,29.15999984741211,29.011444091796875,1729800
2025-09-26,29.190000534057617,29.469999313354492,28.75,29.030000686645508,28.88210678100586,1642600
2025-09-29,29.309999465942383,29.450000762939453,28.5,28.520000457763672,28.374704360961914,2412000
2025-09-30,28.469999313354492,28.809999465942383,28.030000686645508,28.399999618530273,28.25531578063965,2088600
2025-10-01,28.239999771118164,29.549999237060547,28.170000076293945,29.469999313354492,29.31986427307129,2005900
2025-10-02,30.170000076293945,30.170000076293945,29.34000015258789,29.639999389648438,29.488998413085938,1395000
2025-10-03,29.760000228881836,30.040000915527344,29.15999984741211,29.3799991607666,29.230323791503906,2045400
2025-10-06,30.440000534057617,30.670000076293945,30.149999618530273,30.56999969482422,30.41425895690918,2468900
2025-10-07,33.540000915527344,33.540000915527344,29.329999923706055,29.75,29.598438262939453,5731200
2025-10-08,29.760000228881836,30.690000534057617,29.700000762939453,30.610000610351562,30.454057693481445,2907600
2025-10-09,30.6200008392334,30.950000762939453,30.030000686645508,30.6299991607666,30.473953247070312,2209100
2025-10-10,31.09000015258789,31.389999389648438,28.190000534057617,28.260000228881836,28.116029739379883,5046100
2025-10-13,30.049999237060547,30.520000457763672,29.709999084472656,30.459999084472656,30.304819107055664,2394900
2025-10-14,29.40999984741211,30.43000030517578,29.389999389648438,29.90999984741211,29.75762367248535,2393200
2025-10-15,30.56999969482422,31.34000015258789,30.229999542236328,31.280000686645508,31.12064552307129,2395700
2025-10-16,32.91999816894531,32.91999816894531,31.09000015258789,31.5,31.339523315429688,3730000
2025-10-17,31.040000915527344,31.489999771118164,30.59000015258789,31.290000915527344,31.13059425354004,1919100
2025-10-20,32.150001525878906,32.75,31.950000762939453,32.279998779296875,32.11554718017578,2009300
2025-10-21,32.130001068115234,32.4900016784668,31.68000030517578,32.150001525878906,31.9862117767334,2078000
2025-10-22,31.670000076293945,31.920000076293945,30.260000228881836,30.770000457763672,30.613243103027344,2310600
2025-10-23,30.5,32.189998626708984,30.440000534057617,31.979999542236328,31.81707763671875,1613100
2025-10-24,32.95000076293945,33.33000183105469,32.41999816894531,32.77000045776367,32.60305404663086,3169500
2025-10-27,33.599998474121094,33.81999969482422,32.970001220703125,33.18000030517578,33.010963439941406,4820300
2025-10-28,30.610000610351562,32.97999954223633,29.5,32.15999984741211,31.99616050720215,9760000
2025-10-29,32.29999923706055,33.75,32.29999923706055,32.689998626708984,32.523460388183594,4759300
2025-10-30,32.40999984741211,32.63999938964844,31.739999771118164,31.920000076293945,31.757383346557617,2582500
2025-10-31,32.15999984741211,32.75,31.920000076293945,32.279998779296875,32.11554718017578,2409800
2025-11-03,33.939998626708984,38.220001220703125,33.810001373291016,37.84000015258789,37.64722442626953,10475800
2025-11-04,35.65999984741211,36.79999923706055,35.189998626708984,35.25,35.07041931152344,5389300
2025-11-05,35.689998626708984,37.290000915527344,35.380001068115234,36.54999923706055,36.36379623413086,3113100
2025-11-06,36.65999984741211,36.709999084472656,34.459999084472656,35.150001525878906,34.97092819213867,3538500
2025-11-07,34.150001525878906,34.790000915527344,33.13999938964844,34.779998779296875,34.602813720703125,3550400
2025-11-10,35.900001525878906,36.27000045776367,34.900001525878906,35.209999084472656,35.03062057495117,3665500
2025-11-11,34.790000915527344,34.810001373291016,34.119998931884766,34.2599983215332,34.08545684814453,1647800
2025-11-12,34.75,35.2599983215332,34.290000915527344,34.470001220703125,34.29439163208008,2074700
2025-11-13,33.720001220703125,34.099998474121094,31.3700008392334,31.950000762939453,31.787229537963867,3383700
2025-11-14,30.520000457763672,32.4900016784668,30.450000762939453,31.68000030517578,31.51860809326172,3138100
2025-11-17,31.09000015258789,32.08000183105469,30.600000381469727,30.889999389648438,30.732629776000977,2270100
2025-11-18,30.360000610351562,31.09000015258789,29.760000228881836,30.690000534057617,30.533649444580078,3073500
2025-11-19,31.1200008392334,31.979999542236328,30.6299991607666,31.43000030517578,31.269880294799805,2333900
2025-11-20,33.4900016784668,33.849998474121094,30.139999389648438,30.190000534057617,30.036197662353516,4138200
2025-11-21,30.25,32.41999816894531,30.030000686645508,32.04999923706055,31.886720657348633,3650800
2025-11-24,32.45000076293945,33.349998474121094,32.349998474121094,33.13999938964844,32.971168518066406,3213400
2025-11-25,33.0,33.97999954223633,32.400001525878906,33.79999923706055,33.627803802490234,2622400
2025-11-26,34.0,35.27000045776367,33.939998626708984,34.91999816894531,34.74209976196289,2461600
2025-11-28,35.31999969482422,36.43000030517578,35.31999969482422,36.38999938964844,36.20460891723633,1901600
2025-12-01,35.86000061035156,38.02000045776367,35.7400016784668,37.7400016784668,37.547733306884766,3329600
2025-12-02,38.439998626708984,40.93000030517578,37.91999816894531,40.650001525878906,40.442909240722656,5122400
2025-12-03,40.7599983215332,44.06999969482422,40.34000015258789,43.93000030517578,43.79670333862305,5742900
2025-12-04,43.36000061035156,43.90999984741211,42.599998474121094,43.18000030517578,43.04897689819336,4590100
2025-12-05,43.900001525878906,43.939998626708984,42.900001525878906,43.22999954223633,43.09882736206055,4110600
2025-12-08,43.560001373291016,45.18000030517578,43.0099983215332,44.709999084472656,44.574337005615234,3638000
2025-12-09,44.060001373291016,44.72999954223633,43.130001068115234,44.61000061035156,44.474639892578125,3421700
2025-12-10,45.47999954223633,46.970001220703125,45.20000076293945,46.849998474121094,46.70783996582031,5540500
2025-12-11,46.31999969482422,47.279998779296875,45.599998474121094,47.040000915527344,46.89726257324219,2662300
2025-12-12,46.2400016784668,46.88999938964844,43.810001373291016,44.310001373291016,44.1755485534668,4626200
2025-12-15,44.869998931884766,45.22999954223633,43.560001373291016,43.90999984741211,43.776763916015625,2521100
2025-12-16,43.650001525878906,43.650001525878906,39.119998931884766,40.279998779296875,40.15777587890625,5390900
2025-12-17,40.97999954223633,41.18000030517578,38.66999816894531,38.869998931884766,38.75205612182617,3795800
2025-12-18,40.779998779296875,40.95000076293945,39.13999938964844,39.29999923706055,39.180747985839844,3146300
2025-12-19,39.400001525878906,40.81999969482422,39.380001068115234,40.38999938964844,40.26744079589844,4884800
2025-12-22,41.79999923706055,41.79999923706055,40.529998779296875,40.790000915527344,40.666229248046875,2024400
2025-12-23,40.5099983215332,40.9900016784668,40.5,40.86000061035156,40.736019134521484,1554400
2025-12-24,41.02000045776367,41.02000045776367,40.470001220703125,40.7599983215332,40.63631820678711,718400
2025-12-26,40.88999938964844,40.939998626708984,39.88999938964844,40.59000015258789,40.466835021972656,1661700
2025-12-29,40.189998626708984,40.68000030517578,39.86000061035156,40.09000015258789,39.968353271484375,1670100
2025-12-30,40.290000915527344,41.220001220703125,40.22999954223633,40.400001525878906,40.27741241455078,2398700
2025-12-31,40.40999984741211,40.54999923706055,39.470001220703125,39.47999954223633,39.36020278930664,1547100
2026-01-02,41.04999923706055,43.209999084472656,41.04999923706055,42.91999816894531,42.789764404296875,4218800
2026-01-05,45.90999984741211,48.40999984741211,45.45000076293945,48.130001068115234,47.98395919799805,7952900
2026-01-06,49.369998931884766,53.06999969482422,49.18000030517578,51.290000915527344,51.134368896484375,8804000
2026-01-07,49.97999954223633,53.529998779296875,49.880001068115234,52.720001220703125,52.56003189086914,6625000
2026-01-08,51.88999938964844,52.34000015258789,49.11000061035156,51.0,50.84524917602539,4461900
2026-01-09,51.540000915527344,52.400001525878906,50.31999969482422,52.290000915527344,52.1313362121582,2860200
2026-01-12,51.060001373291016,52.709999084472656,49.880001068115234,51.58000183105469,51.42348861694336,4675500
2026-01-13,51.58000183105469,52.31999969482422,50.400001525878906,51.95000076293945,51.7923698425293,2439200
2026-01-14,51.849998474121094,51.91999816894531,47.66999816894531,48.66999816894531,48.522315979003906,5650300
2026-01-15,52.22999954223633,54.20000076293945,49.099998474121094,49.20000076293945,49.05070877075195,5760600
2026-01-16,49.52000045776367,50.16999816894531,46.77000045776367,48.0,47.85435104370117,3872800
2026-01-20,46.63999938964844,49.529998779296875,46.47999954223633,49.04999923706055,48.90116500854492,4458700
2026-01-21,49.689998626708984,54.0,49.689998626708984,53.459999084472656,53.29777908325195,5093500
2026-01-22,55.13999938964844,55.16999816894531,51.84000015258789,52.45000076293945,52.29084777832031,4508700
2026-01-23,52.45000076293945,52.849998474121094,49.0,49.709999084472656,49.55916213989258,3108800
2026-01-26,50.0099983215332,51.45000076293945,49.36000061035156,50.38999938964844,50.237098693847656,2331000
2026-01-27,51.25,51.4900016784668,50.29999923706055,50.7400016784668,50.586036682128906,2508100
2026-01-28,51.9900016784668,52.560001373291016,50.5099983215332,50.959999084472656,50.80537033081055,2925400
2026-01-29,51.22999954223633,52.380001068115234,48.400001525878906,50.0,49.84828186035156,3378700
2026-01-30,48.72999954223633,50.9900016784668,47.790000915527344,48.33000183105469,48.183353424072266,3383100
2026-02-02,47.25,49.43000030517578,47.25,48.20000076293945,48.05374526977539,2820800
2026-02-03,49.33000183105469,49.9900016784668,45.400001525878906,46.2400016784668,46.099693298339844,4746100
2026-02-04,46.130001068115234,47.650001525878906,42.13999938964844,43.869998931884766,43.73688507080078,5640000
2026-02-05,43.619998931884766,45.290000915527344,43.02000045776367,44.27000045776367,44.13566970825195,4595900
2026-02-06,45.459999084472656,49.43000030517578,45.459999084472656,49.36000061035156,49.21022415161133,4223900
2026-02-09,48.630001068115234,53.220001220703125,47.970001220703125,52.52000045776367,52.36063766479492,8482800
2026-02-10,54.27000045776367,54.75,49.630001068115234,53.459999084472656,53.29777908325195,8312100
2026-02-11,54.31999969482422,57.09000015258789,53.4900016784668,56.16999816894531,55.99956130981445,5648400
2026-02-12,55.790000915527344,55.790000915527344,49.630001068115234,51.59000015258789,51.43345642089844,6198600
2026-02-13,47.88999938964844,49.13999938964844,47.08000183105469,47.47999954223633,47.33592987060547,12757900
2026-02-17,46.91999816894531,47.09000015258789,44.290000915527344,46.84000015258789,46.697872161865234,6660400
2026-02-18,47.5099983215332,49.099998474121094,46.13999938964844,46.7400016784668,46.59817886352539,5824500
